0,no
1,yes
2,yes
3,yes
4,no
5,no
6,yes
7,yes
8,no
9,yes
10,no
11,yes
12,no
13,no
14,no
15,yes
16,no
17,yes
18,yes
19,yes
20,no
21,yes
22,yes
23,yes
24,no
25,no
26,no
27,yes
28,no
29,yes
30,yes
31,no
32,yes
33,no
34,no
35,no
36,no
37,yes
38,yes
39,yes
40,yes
41,yes
42,yes
43,no
44,no
45,no
46,yes
47,yes
48,no
49,yes
50,yes
51,no
52,no
53,no
54,yes
55,yes
56,yes
57,no
58,no
59,no
60,yes
61,no
62,no
63,no
64,yes
65,no
66,no
67,yes
68,no
69,no
70,yes
71,yes
72,no
73,no
74,yes
75,yes
76,yes
77,yes
78,yes
79,yes
80,yes
81,no
82,no
83,yes
84,yes
85,yes
86,no
87,yes
88,yes
89,no
90,no
91,yes
92,yes
93,no
94,no
95,yes
96,yes
97,no
98,no
99,yes
