0,yes
1,yes
2,yes
3,yes
4,no
5,no
6,yes
7,no
8,no
9,no
10,yes
11,no
12,no
13,no
14,no
15,no
16,no
17,no
18,no
19,no
20,no
21,no
22,no
23,no
24,no
25,no
26,no
27,no
28,no
29,no
30,no
31,no
32,yes
33,yes
34,no
35,yes
36,no
37,yes
38,no
39,no
40,no
41,yes
42,no
43,no
44,no
45,yes
46,no
47,no
48,no
49,yes
50,no
51,no
52,no
53,yes
54,yes
55,no
56,no
57,yes
58,no
59,no
60,no
61,no
62,no
63,yes
64,no
65,yes
66,yes
67,no
68,no
69,yes
70,yes
71,no
72,no
73,yes
74,no
75,no
76,yes
77,no
78,no
79,yes
80,no
81,no
82,no
83,no
84,no
85,no
86,no
87,no
88,yes
89,no
90,no
91,yes
92,yes
93,no
94,no
95,yes
96,no
97,no
98,yes
99,no
