0,no
1,no
2,no
3,no
4,no
5,no
6,yes
7,no
8,yes
9,no
10,no
11,yes
12,no
13,no
14,no
15,yes
16,no
17,no
18,no
19,yes
20,no
21,no
22,no
23,no
24,yes
25,no
26,no
27,no
28,no
29,no
30,no
31,no
32,no
33,yes
34,no
35,no
36,yes
37,yes
38,no
39,yes
40,yes
41,no
42,no
43,no
44,no
45,no
46,no
47,no
48,no
49,no
50,no
51,no
52,yes
53,no
54,no
55,no
56,no
57,no
58,no
59,no
60,no
61,yes
62,no
63,yes
64,no
65,no
66,no
67,yes
68,no
69,no
70,no
71,yes
72,no
73,yes
74,no
75,yes
76,no
77,yes
78,no
79,yes
80,no
81,no
82,no
83,no
84,no
85,yes
86,no
87,no
88,no
89,yes
90,no
91,no
92,no
93,no
94,no
95,no
96,no
97,no
98,yes
99,no
