0,no
1,yes
2,no
3,no
4,no
5,no
6,yes
7,no
8,no
9,yes
10,yes
11,no
12,no
13,yes
14,no
15,no
16,yes
17,no
18,no
19,no
20,yes
21,no
22,no
23,no
24,no
25,no
26,no
27,no
28,no
29,no
30,yes
31,no
32,yes
33,no
34,no
35,no
36,no
37,no
38,yes
39,yes
40,no
41,yes
42,yes
43,yes
44,yes
45,yes
46,yes
47,yes
48,no
49,yes
50,yes
51,no
52,no
53,yes
54,no
55,yes
56,yes
57,no
58,no
59,no
60,no
61,no
62,yes
63,no
64,no
65,no
66,no
67,yes
68,no
69,yes
70,no
71,yes
72,no
73,no
74,no
75,yes
76,no
77,no
78,no
79,yes
80,no
81,no
82,no
83,yes
84,yes
85,yes
86,no
87,no
88,yes
89,no
90,yes
91,no
92,yes
93,yes
94,no
95,yes
96,no
97,no
98,no
99,no
