61,no,9
65,no,9
66,no,9
67,no,9
68,no,9
71,no,9
72,no,9
74,no,9
78,no,9
79,no,9
82,no,9
84,no,9
86,no,9
87,no,9
88,no,9
89,no,9
90,no,9
91,no,9
92,no,9
94,no,9
97,no,9
98,no,9
101,no,9
102,no,9
104,no,9
106,no,9
107,no,9
109,no,9
111,no,9
113,no,9
117,no,9
118,no,9
119,no,9
121,no,9
122,no,9
123,no,9
124,no,9
125,no,9
127,no,9
128,no,9
131,no,9
133,no,9
134,no,9
136,no,9
137,no,9
138,no,9
139,no,9
142,no,9
143,no,9
144,no,9
145,no,9
146,no,9
147,no,9
148,no,9
151,no,9
152,no,9
155,no,9
156,no,9
157,no,9
159,no,9
160,no,9
