61,no,9
62,no,9
63,no,9
65,no,9
69,no,9
71,no,9
75,no,9
76,no,9
77,no,9
78,no,9
79,no,9
80,no,9
82,no,9
83,no,9
84,no,9
85,no,9
86,no,9
87,no,9
90,no,9
92,no,9
93,no,9
95,no,9
96,no,9
99,no,9
100,no,9
101,no,9
103,no,9
104,no,9
105,no,9
106,no,9
109,no,9
110,no,9
111,no,9
114,no,9
116,no,9
117,no,9
118,no,9
121,no,9
122,no,9
124,no,9
125,no,9
129,no,9
131,no,9
132,no,9
135,no,9
136,no,9
137,no,9
139,no,9
140,no,9
141,no,9
143,no,9
144,no,9
146,no,9
147,no,9
148,no,9
149,no,9
150,no,9
151,no,9
152,no,9
153,no,9
154,no,9
157,no,9
159,no,9
