65,no,9
66,no,9
69,no,9
70,no,9
71,no,9
73,no,9
78,no,9
79,no,9
81,no,9
82,no,9
83,no,9
84,no,9
85,no,9
87,no,9
89,no,9
91,no,9
92,no,9
95,no,9
97,no,9
98,no,9
99,no,9
101,no,9
102,no,9
105,no,9
106,no,9
108,no,9
111,no,9
112,no,9
114,no,9
116,no,9
119,no,9
120,no,9
121,no,9
122,no,9
123,no,9
124,no,9
125,no,9
126,no,9
127,no,9
128,no,9
129,no,9
132,no,9
134,no,9
135,no,9
139,no,9
142,no,9
143,no,9
145,no,9
146,no,9
147,no,9
148,no,9
149,no,9
151,no,9
152,no,9
153,no,9
154,no,9
155,no,9
156,no,9
158,no,9
160,no,9
